Order_ID,Order_Date,Customer_Name,Customer_Segment,Product_Name,Category,Sub_Category,Region,City,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Year,Month,Month_Number,Quarter,Profit_Margin,Unnamed: 20,Unnamed: 21
ORD01158,2023-01-01,Kiara Desai,Corporate,Study Desk,Furniture,Tables,South,Kochi,8,181.93,0.25,1091.56,-44.55,Net Banking,2023,Jan,1,Q1,-4.08,,2475490.5399999972
ORD01837,2023-01-01,Neel Malhotra,Consumer,Samsung Galaxy A54,Technology,Phones,North,Jaipur,6,342.0,0.2,1641.6,17.95,Debit Card,2023,Jan,1,Q1,1.09,,126723.50000000004
ORD03503,2023-01-01,Kabir Shah,Consumer,Ergonomic Office Chair,Furniture,Chairs,North,Amritsar,1,135.27,0.1,121.74,6.76,UPI,2023,Jan,1,Q1,5.55,,15376.0
ORD00744,2023-01-02,Rahul Verma,Consumer,Ball Pen Set,Office Supplies,Stationery,East,Guwahati,8,7.9,0.1,56.91,15.0,UPI,2023,Jan,1,Q1,26.36,,5000.0
ORD01221,2023-01-02,Diya Sharma,Corporate,Bookshelf,Furniture,Storage,North,Chandigarh,2,116.87,0.0,233.74,28.13,UPI,2023,Jan,1,Q1,12.03,,495.09810799999946
ORD02880,2023-01-02,Aditya Rao,Corporate,Ball Pen Set,Office Supplies,Stationery,North,Jaipur,5,7.58,0.0,37.91,9.67,UPI,2023,Jan,1,Q1,25.51,,0.05119126813548647
ORD03151,2023-01-02,Aarav Mehta,Consumer,Ring Binder,Office Supplies,Binders,North,Delhi,2,7.43,0.15,12.64,1.84,Credit Card,2023,Jan,1,Q1,14.56,,
ORD03453,2023-01-02,Kunal Bansal,Corporate,Mechanical Keyboard,Technology,Accessories,South,Bengaluru,2,73.45,0.05,139.55,15.06,Debit Card,2023,Jan,1,Q1,10.79,,
ORD04553,2023-01-02,Rahul Verma,Consumer,Stapler,Office Supplies,Stationery,North,Chandigarh,3,8.91,0.0,26.73,5.64,UPI,2023,Jan,1,Q1,21.1,,
ORD04642,2023-01-02,Kunal Bansal,Consumer,Ball Pen Set,Office Supplies,Stationery,West,Mumbai,2,8.16,0.0,16.31,4.56,Net Banking,2023,Jan,1,Q1,27.96,,
ORD00741,2023-01-03,Ananya Iyer,Consumer,Ring Binder,Office Supplies,Binders,West,Nagpur,3,7.37,0.05,21.0,5.0,Credit Card,2023,Jan,1,Q1,23.81,,
ORD00998,2023-01-03,Kiara Desai,Corporate,Apple iPhone 13,Technology,Phones,South,Kochi,1,664.89,0.0,664.89,54.97,UPI,2023,Jan,1,Q1,8.27,,
ORD03877,2023-01-03,Neel Malhotra,Consumer,HP Laser Printer,Technology,Printers,East,Ranchi,5,209.48,0.1,942.64,51.98,Net Banking,2023,Jan,1,Q1,5.51,,
ORD04419,2023-01-03,Sana Kapoor,Consumer,Mechanical Keyboard,Technology,Accessories,West,Ahmedabad,1,74.86,0.05,71.12,8.53,Debit Card,2023,Jan,1,Q1,11.99,,
ORD02731,2023-01-04,Riya Kulkarni,Corporate,Lenovo IdeaPad 3,Technology,Laptops,South,Coimbatore,1,497.93,0.05,473.03,51.59,Credit Card,2023,Jan,1,Q1,10.91,,
ORD03492,2023-01-04,Neel Malhotra,Small Business,Notebook Pack,Office Supplies,Stationery,East,Guwahati,3,11.9,0.15,30.35,4.87,Cash,2023,Jan,1,Q1,16.05,,
ORD04315,2023-01-04,Arjun Nair,Corporate,Bookshelf,Furniture,Storage,East,Kolkata,3,113.4,0.15,289.17,25.76,UPI,2023,Jan,1,Q1,8.91,,
ORD00811,2023-01-05,Vivaan Singh,Corporate,Filing Cabinet,Furniture,Storage,South,Bengaluru,2,92.05,0.05,174.9,14.62,Credit Card,2023,Jan,1,Q1,8.36,,
